CountryName,CountryCode,Year,Total Population,Urban population (% of total)
Malaysia,MYS,1970,10908634.0,33.454
Maldives,MDV,1970,115703.0,11.892999999999999
Mali,MLI,1970,5949043.0,14.33
Malta,MLT,1970,302650.0,89.699
Marshall Islands,MHL,1970,20397.0,53.492
Mauritania,MRT,1970,1148908.0,14.564
Mauritius,MUS,1970,826000.0,42.032
Mexico,MEX,1970,52029859.0,59.021
"Micronesia, Fed. Sts.",FSM,1970,61433.0,24.808000000000003
Moldova,MDA,1970,3044000.0,32.068000000000005
Monaco,MCO,1970,23484.0,100.0
Mongolia,MNG,1970,1278825.0,45.052
Montenegro,MNE,1970,526123.0,26.853
Morocco,MAR,1970,16039600.0,34.477
Mozambique,MOZ,1970,9262078.0,6.979
Myanmar,MMR,1970,27166045.0,22.83
Namibia,NAM,1970,780386.0,22.291999999999998
Nepal,NPL,1970,11986974.0,3.9560000000000004
Netherlands,NLD,1970,13038526.0,61.663000000000004
New Caledonia,NCL,1970,112000.0,51.232
New Zealand,NZL,1970,2810700.0,81.10600000000001
Nicaragua,NIC,1970,2398095.0,47.03
Niger,NER,1970,4497355.0,8.794
Nigeria,NGA,1970,56131844.0,17.76
Northern Mariana Islands,MNP,1970,13203.0,70.062
Norway,NOR,1970,3875763.0,65.396
Oman,OMN,1970,723850.0,29.665
Pakistan,PAK,1970,58094239.0,24.816999999999997
Palau,PLW,1970,11481.0,59.715
Panama,PAN,1970,1519293.0,47.64
Papua New Guinea,PNG,1970,2434755.0,9.796
Paraguay,PRY,1970,2474102.0,37.065
Peru,PER,1970,13341071.0,57.406000000000006
Philippines,PHL,1970,35804731.0,32.979
Poland,POL,1970,32664300.0,52.125
Portugal,PRT,1970,8680431.0,38.804
Puerto Rico,PRI,1970,2718000.0,58.328
Qatar,QAT,1970,109329.0,88.354
Romania,ROM,1970,20250398.0,40.319
Russian Federation,RUS,1970,130404000.0,62.471000000000004
Rwanda,RWA,1970,3754546.0,3.194
Samoa,WSM,1970,143175.0,20.352999999999998
San Marino,SMR,1970,19136.0,59.8
Sao Tome and Principe,STP,1970,74251.0,29.518
Saudi Arabia,SAU,1970,5836394.0,48.669
Senegal,SEN,1970,4217754.0,30.0
Seychelles,SYC,1970,53600.0,39.068000000000005
Sierra Leone,SLE,1970,2514151.0,23.969
Singapore,SGP,1970,2074500.0,100.0
Slovak Republic,SVK,1970,4538223.0,41.056999999999995
Slovenia,SVN,1970,1724891.0,37.004
Solomon Islands,SLB,1970,160292.0,8.917
Somalia,SOM,1970,3445420.0,22.678
South Africa,ZAF,1970,22087000.0,47.809
South Sudan,SSD,1970,3647097.0,8.633
Spain,ESP,1970,33814531.0,66.038
Sri Lanka,LKA,1970,12514000.0,19.514
St. Kitts and Nevis,KNA,1970,44882.0,34.141
St. Lucia,LCA,1970,104162.0,23.906999999999996
St. Vincent and the Grenadines,VCT,1970,90457.0,30.683000000000003
Sudan,SDN,1970,10232758.0,16.523
Suriname,SUR,1970,371268.0,45.948
Swaziland,SWZ,1970,445844.0,9.705
Sweden,SWE,1970,8042801.0,81.03399999999999
Switzerland,CHE,1970,6180877.0,57.368
Syrian Arab Republic,SYR,1970,6378802.0,43.345
Tajikistan,TJK,1970,2919586.0,36.876
Tanzania,TZA,1970,13605504.0,7.852
Thailand,THA,1970,36884914.0,20.889
Timor-Leste,TMP,1970,602737.0,12.886
Togo,TGO,1970,2115521.0,21.28
Tonga,TON,1970,84370.0,20.187
Trinidad and Tobago,TTO,1970,945996.0,11.876
Tunisia,TUN,1970,5127000.0,43.482
Turkey,TUR,1970,34772031.0,38.234
Turkmenistan,TKM,1970,2188499.0,47.78
Turks and Caicos Islands,TCA,1970,5632.0,51.106
Tuvalu,TUV,1970,7296.0,22.081
Uganda,UGA,1970,9446024.0,6.664
Ukraine,UKR,1970,47086758.0,54.831
United Arab Emirates,ARE,1970,235434.0,79.8
United Kingdom,GBR,1970,55663250.0,77.117
United States,USA,1970,205052000.0,73.602
